SentenceId	View	Opinion
027823	速腾	neu
027823	迈腾	neu
027823	凌渡	pos
027822	卡罗拉	neu
027820	吉利汽车	pos
027818	一汽	neg
027814	速派	neu
027812	丰田	neu
027812	卡罗拉	pos
027810	大众	neg
027807	途观	pos
027806	别克凯越	neu
027796	别克	neu
027794	途安	neg
027790	标致	neu
027780	风标致308	neu
027780	东风标致4008	neu
027779	雷克萨斯凌志LX570	neu
027776	别克	neu
027775	速腾	neg
027770	宝马	neu
027770	QQ	neu
027767	大众捷达	pos
027759	上海大众New Polo	pos
027758	奥迪TT	neu
027758	奥迪A3	neu
027758	奥迪	neu
027757	雷诺泰诺	neg
027756	丰田	neg
027756	雷克萨斯CT200h	neg
027754	福特野马	pos
027751	英朗	pos
027750	M4	neg
027744	奥迪	neu
027743	福特探险者	neu
027739	凌渡GTS	pos
027736	凌渡	pos
027736	高尔夫GTI	neu
027733	帕萨特	pos
027731	北京汽车	neu
027729	朗境	pos
027720	奥迪	neg
027720	A8L	neg
027719	帕萨特	pos
027719	宝马	neg
027718	18i	neg
027714	极光	neu
027714	奔驰	pos
027714	x3	neu
027714	328gt	neu
027713	斯柯达	neu
027711	斯柯达昕锐	neu
027707	马自达	pos
027701	途安L	pos
027701	途安	neu
027699	斯巴鲁	neu
027695	丰田	neu
027695	本田	neu
027695	思铂睿	pos
027695	锐志	pos
027695	凯美瑞	pos
027691	大众	neu
027691	高尔夫	pos
027690	大众	neu
027689	威驰	pos
027689	丰田	neu
027684	mini	neu
027684	countryman	pos
027682	途观	neu
027682	国光	neu
027678	享御	neg
027678	雷斯特	neg
027672	途观	pos
027666	上海大众	neu
027666	福特	neu
027663	传祺GS8	pos
027654	长安欧尚	neg
027654	宏光S1	neg
027654	宝骏730	neg
027650	宝马3系	neu
027649	宝马i3	neu
027646	斯柯达明锐	neu
027644	宝马	pos
027644	BMW	pos
027643	途安L	pos
027642	雪佛兰	neu
027640	宝马	neu
027636	现代	neg
027636	起亚	neg
027634	桑塔纳	neu
027634	劳斯莱斯	neu
027602	东风本田	neu
027595	宝马i3	neu
027594	小七	pos
027592	大众	neu
027592	凌渡	pos
027591	爱信2代	neu
027591	萨博	neu
027585	斯柯达	neu
027580	昕动	pos
027580	斯柯达	neu
027577	宝马	neu
027576	上海大众	neu
027576	桑塔纳	neg
027569	速派	neu
027566	奥迪A3e-tron	neu
027565	大众	pos
027564	乐风	pos
027564	M2	neg
027561	东风日产天籁	neu
027560	凯迪拉克PHEV	neu
027558	奔驰	neu
027558	宝马	neu
027554	劲畅	pos
027552	沃尔沃S90	neu
027551	明锐	neu
027544	别克凯越	neu
027541	途观	pos
027538	速派	neu
027537	宝马	neu
027537	QQ	neu
027536	帕萨特	neu
027536	大众高尔夫	neu
027522	福特	pos
027520	自由光	pos
027520	途观	pos
027519	V07S	pos
027515	英朗	neu
027510	东风雪铁龙世嘉	neg
027508	日产颐达	neu
027508	Polo	neu
027506	大众	neu
027495	别克	neu
027494	PHIDEON辉昂	pos
027481	北京现代	neu
027479	长安标致雪铁龙	neu
027476	凯越	pos
027470	途观	neg
027466	兰博基尼	neu
027465	凌渡	pos
027464	北京汽车B40	neg
027463	江铃	neu
027463	长安马自达	neu
027460	悦翔	pos
027460	逸动	pos
027456	福睿斯	pos
027452	速派	neu
027452	迈腾	neu
027450	轩逸	pos
027446	上海通用别克	neg
027443	中华V3	pos
027443	华晨中华	neu
027440	宝马	neu
027438	凯迪拉克SRX	neu
027437	东风雪铁龙	neu
027435	斯柯达	pos
027433	夏朗	pos
027420	途安	neu
027415	途安L	pos
027413	长安	neu
027413	东风	neu
027412	君威	neu
027412	凌渡	neu
027408	途安L	pos
027400	昕动	pos
027399	丰田	neu
027399	BJ	neu
027398	福特翼虎	neg
027398	本田CRV	neg
027397	凯越	neg
027396	科鲁兹	pos
027393	宝马	pos
027388	东风标致4008	neu
027386	雪铁龙	neg
027380	晶锐	pos
027378	速派	pos
027377	晶锐	pos
027376	保时捷Cayman	neg
027372	速派	neu
027361	速腾	pos
027361	高尔夫	pos
027360	POLO GTI	pos
027359	陆风 X5	neu
027358	雪佛兰乐驰	neg
027353	启辰	neg
027352	路虎	pos
027352	捷豹	pos
027339	雷克萨斯	pos
027339	奔驰	neu
027333	本田	neu
027321	君越	neu
027321	英朗GT	pos
027320	昂科威	pos
027317	北京现代名图	neg
027316	宝马i3	neu
027315	众泰Z700	pos
027313	夏利	pos
027311	众泰	pos
027307	宝马	neu
027306	明锐	pos
027301	途观	neu
027298	林肯	neu
027292	雅阁	neu
027292	本田	neu
027286	大众	neu
027281	途观	neg
027277	速派	neu
027277	帕萨特	neu
027277	迈腾	neu
027274	梅赛德斯奔驰A180	neu
027273	雪佛兰科迈罗	neu
027269	明锐	neu
027263	上海大众VW	pos
027254	帕萨特	neg
027253	Polo	pos
027241	普拉多	pos
027241	丰田	pos
027241	Land Cruiser Prado	pos
027237	汉兰达	neg
027237	柴油索兰托	pos
027235	奇瑞	neu
027235	帕萨特	neu
027235	陆风	neu
027235	红旗	neu
027235	哈佛	neu
027235	奔驰	neu
027235	宝马	neu
027235	EA211	neu
027235	A4	pos
027233	大众凌渡	pos
027231	长安	neu
027231	江铃	neu
027224	速派	neu
027224	迈腾	neu
027222	宝马116	neg
027213	英菲尼迪	neg
027211	途锐	neu
027211	途观	neu
027210	一汽-大众	neu
027209	斯柯达	neu
027206	凯越	neu
027203	明锐	neg
027202	逍客	neu
027202	途胜	neu
027202	劲炫	pos
027202	昂克拉	neu
027202	ix35	neu
027201	桑塔纳	neu
027201	捷达	neu
027201	宝来	neu
027199	明锐	neg
027190	梅赛德斯-奔驰	pos
027187	雪弗兰赛欧	neu
027186	华泰汽车	neu
027183	昕动	neu
027183	飞度	neu
027177	宝马	neu
027166	途观	neg
027165	昕动	pos
027159	桑塔纳	pos
027158	天津一汽	neg
027156	大众	neg
027149	速派	pos
027138	速派	pos
027137	路虎	pos
027137	Jeep	pos
027134	New Polo	pos
027132	轩逸	pos
027130	逍客	neu
027130	东风雷诺科雷嘉	neu
027130	东风标致3008	neu
027128	大众新POLO GTI	pos
027126	奥迪	neu
027124	斯柯达	pos
027123	北京现代	neg
027121	广汽传祺GS8	pos
027119	明锐	pos
027118	大众	neu
027118	明锐	pos
027117	斯柯达	neg
027111	上汽通用	neu
027111	丰田	pos
027107	锐界	neu
027107	楼兰	pos
027107	汉兰达	neu
027107	昂科威	neu
027103	途观	pos
027102	宝马	pos
027100	m20	neg
027100	30	pos
027099	新途观	neu
027099	大迈	neu
027095	高尔夫7	neu
027095	法拉利	neu
027095	奔驰A180	neu
027093	荣威RX5	neu
027093	吉利	neu
027093	蒙迪欧	neu
027093	奔驰	neu
027077	帕萨特	neu
027072	途观	neu
027063	北汽	pos
027062	途观	neg
027059	东风标致308	pos
027058	BYD	pos
027057	凌渡	pos
027056	Lamando凌渡	neu
027053	长安	neu
027047	凯越	neu
027044	爱丽舍	pos
027041	明锐	neu
027041	宝来	neu
027033	夏朗	pos
027031	帕萨特	pos
027028	广汽本田缤智	neg
027023	三菱EVO	neu
027021	明锐	neg
027017	爱丽舍	neu
027015	沃尔沃V60	neu
027009	浪迪	pos
027002	吉普车	neu
027000	众泰T700	neu
027000	途观	neu
027000	卡宴	neu
026996	众泰Z500	neg
026993	昂科威	neg
026989	君越	pos
026989	别克	pos
026988	众泰	neu
026988	丰田	neu
026988	本田	neu
026988	日产	neg
026974	V5	pos
026972	北汽新能源	pos
026969	福特	neu
026969	丰田	neu
026969	大众	neu
026965	途安L	pos
026961	速派	pos
026957	东风风神E30L	neu
026957	东风风神E30	neu
026957	东风风神A60	neu
026953	途观	pos
026940	翼虎	neu
026940	途观	neu
026940	国光	neu
026939	东风标致	pos
026936	帕萨特	pos
026934	途观	neu
026923	奥迪	pos
026917	速派	pos
026915	雪佛兰	pos
026913	五菱宏光	pos
026913	朗逸	pos
026913	哈弗H6	pos
026913	传祺GS4	pos
026913	宝骏560	pos
026908	明锐	neg
026904	东风风神A60	pos
026899	尚酷	neu
026899	LEXUS	pos
026897	晶锐	pos
026896	朗逸	pos
026894	途安	neu
026891	致尚	pos
026891	逸动	pos
026886	308	pos
026884	凌渡	neu
026883	猎豹CS10	pos
026879	捷豹路虎	neu
026877	上海通用	neg
026877	别克	neg
026869	雅阁	pos
026858	比亚迪F0	neg
026856	奥迪A4	pos
026853	凌渡	neu
026851	速派	neu
026834	明锐	neg
026833	一汽大众奥迪	neu
026833	奥迪A4L	neu
026830	东风标致	neu
026825	桑塔纳	neu
026824	江淮	neu
026822	速腾	pos
026822	朗逸	neu
026814	英朗	pos
026814	科鲁兹	neu
026814	凯越	pos
026804	途观	pos
026798	奥迪A6	pos
026797	明锐	pos
026794	捷恩斯	neu
026794	New York	neu
026782	速派	pos
026781	速派	pos
026777	小霸王	pos
026777	松花江5型	neu
026774	逸动	neg
026772	君越混动	neu
026767	英朗	pos
026763	思铂睿	neu
026757	速腾	neu
026757	哈佛	neg
026757	H2	neg
026754	帕萨特	pos
026754	迈腾	pos
026751	别克君越	neu
026743	速派	neu
026741	朗逸	neu
026741	东风标致308	neu
026734	帕萨特	pos
026733	昕动	pos
026726	宝马	neu
026722	别克凯越	pos
026721	凯迪拉克CT6 PHEV	neu
026715	科鲁兹	neu
026714	途观	neu
026709	大众	pos
026705	吉利	pos
026705	传祺	pos
026705	比亚迪	pos
026705	众泰	neg
026704	启辰	pos
026703	Polo GTI	pos
026701	北京现代IX35	neg
026697	mini	pos
026695	奥迪	neu
026694	玛莎拉蒂	neu
026694	菲亚特克莱斯勒	neu
026694	法拉利	neu
026691	福特锐界	neu
026686	RAV4	neg
026685	起亚赛拉图	neg
026681	悦纳	pos
026681	瑞纳	neu
026678	桑塔纳	neu
026678	三菱	neu
026670	大众帕萨特	neu
026669	别克凯越	pos
026663	朗逸	neu
026662	福克斯	neg
026662	途观	neu
026662	RX5	pos
026660	途安L	pos
026654	Lanamdo 凌渡	neu
026653	东风标致308	neu
026651	大众	neu
026649	胜达	neg
026649	北京现代	neg
026644	途观	pos
026636	桑塔纳	neu
026635	凌渡	neu
026632	长安之星	neu
026632	现代	neu
026632	桑塔纳	neu
026632	奇瑞	neu
026632	玛莎拉蒂	neu
026632	凯美瑞	neu
026632	捷达	neu
026632	广本	neu
026632	东南DX7	neu
026632	宾利欧路GTC	neu
026632	别克	neu
026632	奔驰SLK350	neu
026632	奔驰	neu
026632	保时捷卡宴turboS	neu
026632	保时捷911	neu
026632	阿斯顿马丁DBS6.0	neu
026631	福特途睿欧	neu
026630	a4L	pos
026630	a3	pos
026626	明锐	pos
026622	速派	neu
026622	迈腾	neu
026616	凌渡	neu
026610	玛莎拉蒂	neu
026606	标致	pos
026604	308	pos
026602	途安	pos
026599	东风标致4008	pos
026597	第7代高尔夫	pos
026590	速腾	neu
026590	菲翔	pos
026588	丰田	neu
026587	速派	pos
026580	途安	pos
026579	科鲁兹	neg
026574	Polo	neg
026572	朗逸	pos
026571	起亚新KX3	neu
026570	途安	pos
026569	桑塔纳	neu
026569	红旗	neu
026569	奥迪	neu
026567	朗境	pos
026566	长安	neu
026561	宝马	neu
026560	英朗	neu
026560	威朗	neu
026560	凯越	neu
026557	长安	neu
026556	途观	pos
026556	博越	pos
026536	速腾	neu
026533	君威	neu
026532	长安汽车	neu
026521	速派	pos
026521	迈腾	neu
026518	一汽丰田RAV4	neu
026518	RAV4荣放	pos
026517	凌渡	pos
026516	RAV4荣放	neu
026516	一汽丰田	neu
026515	帕萨特	pos
026515	迈腾	neu
026514	明锐	pos
026511	马自达	neu
026505	猎豹飞腾	neg
026502	雷凌	pos
026496	Macan	pos
026494	速派	pos
026489	Polo	neu
026487	凌渡	pos
026476	速派	pos
026475	丰田卡罗拉	pos
026474	Polo	neu
026467	凌渡	neu
026465	高尔夫7	neu
026464	夏朗	pos
026459	迈腾	pos
026456	辉昂	neu
026456	普桑	neu
026456	奔驰	neu
026456	宝马	neu
026456	奥迪RS6	neu
026456	奥迪100	neu
026455	卡罗拉	neu
026453	特斯拉	neg
026449	斯科达速派	neu
026449	大众帕萨特	neu
026446	迈腾	pos
026444	途安	neu
026443	沃尔沃	neu
026433	大众POLO	neu
026432	朗逸	neu
026428	东风日产天籁	neg
026424	斯柯达	neu
026421	途观	neu
026416	大众	neu
026414	长安	neu
026411	奇瑞捷豹路虎	neu
026408	凌渡	neu
026406	丰田汽车	neu
026404	350	pos
026403	起亚K2	neu
026403	POLO	neu
026400	速派	pos
026396	速派	pos
026395	东风雪铁龙	neu
026393	大众	pos
026388	大众	pos
026387	广汽传祺	neu
026385	凯迪拉克	neu
026382	途观	pos
026380	英朗	pos
026380	凯越	neg
026371	北京现代汽车	neu
026359	林肯	pos
026357	速派	pos
026354	广汽传祺GA8	neu
026348	明锐	neg
026347	东风日产	neg
026344	雪铁龙	neu
026338	大众	neu
026337	大众	neu
026334	凌渡	pos
026332	众泰	pos
026330	Polo	neu
026329	威朗	neu
026329	朗逸	pos
026317	卡罗拉	neu
026315	Polo	pos
026310	奇瑞捷豹路虎	neu
026310	XFL	neu
026305	奥迪	neu
026299	途观	pos
026295	速派	pos
026294	五菱	neu
026294	柳汽	neu
026291	雷克萨斯	neu
026286	途安	pos
026285	奔驰	neu
026285	宝马	neu
026285	奥迪	neg
026283	途观	pos
026282	奔驰GLK	neu
026281	朗逸	neu
026281	奥迪	neu
026280	哈弗	neu
026276	上汽大众斯柯达	pos
026275	途安	pos
026267	朗境	pos
026264	福特锐界	pos
026262	日产轩逸	neu
026262	丰田卡罗拉	neu
026261	朗逸	neu
026261	C4世嘉	neu
026260	宝马	neu
026252	凌渡	neu
026239	大众	neu
026239	帕萨特	pos
026232	奔驰S系	neu
026229	昕动	pos
026229	飞度	pos
026228	polo	neu
026227	北京现代	neu
026225	福特	neu
026225	Crown Victoria Police Interceptor	neu
026221	凌渡	neu
026216	凌渡	pos
026214	速派	pos
026211	长安福特福睿斯	pos
026207	桑塔纳	neu
026206	比亚迪宋	neu
026203	蒙迪欧	neu
026203	林肯	neu
026199	大众尚酷	neg
026196	威朗	pos
026196	明锐	neu
026185	途安L	pos
026182	桑塔纳	pos
026178	玛莎	pos
026176	速腾	neu
026176	明锐	neu
026169	途安L	pos
026168	朗行	pos
026160	大众朗逸	neu
026155	荣威RX5	neu
026151	Polo	neu
026147	保时捷Panamera	neg
026146	大宝	neu
026144	上汽通用	neu
026144	君越混动	neu
026143	索纳塔	pos
026143	北京现代	pos
026141	帕萨特	neg
026132	速派	pos
026128	宝马	neu
026124	F0	neu
026120	海外版3008	neu
026120	东风标致	neu
026114	昕锐	neu
026110	凯迪拉克srx	neg
026100	速派	neu
026099	途安L	pos
026097	昕锐	pos
026089	昕动	pos
026088	一汽大众	neu
026084	北京现代朗动	neg
026081	威驰	pos
026079	帕萨特	pos
026079	迈腾	neu
026075	丰田	pos
026072	别克	neu
026070	昕锐	neu
026068	奥迪	pos
026059	明锐	neu
026057	途观	pos
026057	jeep	neu
026057	福特	neu
026057	斯巴鲁	neu
026057	自由光	neu
026057	翼虎	neu
026057	X1	neg
026057	森林人	neu
026055	M1	pos
026050	L3	neu
026046	途观	pos
026036	斯巴鲁森林人	neg
026033	宝马	neg
026031	大众	neg
026026	大众	pos
026024	宝马	neu
026023	飞度	neu
026020	大众	pos
026018	Lavida	neu
026011	上汽大众斯柯达	pos
026011	速派	pos
026009	纳智捷	pos
026002	途安L	pos
026000	瑞纳	neg
025991	大众	neu
025984	帕萨特	neu
025984	奔驰小跑	neu
025984	宝马X5	neu
025983	东风本田	pos
025981	帕萨特	pos
025972	大众	neu
025963	雅阁	pos
025963	天籁	pos
025963	思铂睿	pos
025963	帕萨特	pos
025963	凯美瑞	pos
025963	大众CC	neg
025963	阿特兹	neg
025959	速派	pos
025951	Cross Polo	pos
025948	速派	neu
025946	昂克赛拉	neu
025946	马自达	neu
025946	CX-4	pos
025945	途观	pos
025925	东风本田	neu
025922	现代	pos
025921	众泰	pos
025909	Yeti	pos
025904	长安逸动	neg
025902	斯柯达昕动	pos
025896	景程	pos
025894	迈腾	neu
025887	昕锐	pos
025887	爱丽舍	neu
025881	昕动	pos
025877	天籁	neg
025863	帕萨特	neu
025863	迈腾	neu
025863	凯美瑞	neu
025857	双龙	neg
025854	众泰	pos
025852	明锐	pos
025852	大众	neg
025852	别克	neg
025850	凌渡GTS	neu
025850	高尔夫GTI	neu
025844	轩逸	neu
025844	雷凌	neu
025844	朗逸	neu
025840	沃尔沃	pos
025834	大众	neg
025834	宾利	neg
025834	奥迪	neg
025833	思域	neu
025833	本田	neu
025832	广汽丰田	neu
025825	明锐	neu
025823	东风标致308	neg
025820	Prado	pos
025816	科鲁兹	pos
025812	速派	pos
025811	X7	pos
025810	宝马	neg
025804	途安L	pos
025800	一汽-大众	neu
025800	上汽大众	neu
025791	凌渡	neu
025787	现代捷恩斯	pos
025787	现代	pos
025783	众泰T600	pos
025783	CS75	pos
025780	宝骏	neu
025776	桑塔纳	pos
025772	朗动	pos
025771	威朗	neu
025769	宝马	neu
025764	长安	neg
025764	欧力威	neg
025763	速派	pos
025763	斯柯达	neu
025757	DS	neg
025755	大众途安	neu
025746	昕动	pos
025743	胜达	pos
025737	斯柯达	pos
025736	奇瑞捷豹路虎	neu
025736	路虎揽胜极光	neu
025736	捷豹XFL	neu
025736	发现神行	neu
025735	雷克萨斯	neu
025734	现代	neu
025734	Genesis G70	neu
025731	途安	pos
025719	Cross  Lavida	pos
025714	大众polo	neg
025707	上海大众帕萨特	neu
025703	雨燕	pos
025703	千里马	pos
025703	飞度	pos
025701	揽胜	neg
025692	凌渡230	neu
025688	英朗	pos
025686	迈腾	pos
025685	广汽讴歌	neg
025683	速腾	neg
025678	途观	neg
025678	昂科威	neu
025670	BYDF3	neu
025669	斯柯达	pos
025667	凌渡	pos
025664	长安悦翔V7	neu
025663	三菱	neu
025652	索纳塔	neu
025652	北京现代	neu
025651	奥迪	neu
025649	朗逸	neu
025646	斯柯达昕动	neu
025645	宝马	neu
025640	大众捷达	neu
025639	大众	pos
025636	途安L	neg
025633	众泰云100	neg
025628	XRV	neu
025628	RAV4	neu
025600	宝马	neu
025596	明锐	pos
025593	博越	neu
025593	吉利	neu
025589	上海大众	neg
025589	朗逸	neg
025589	宝来	neg
025581	威驰	neu
025575	三菱	pos
025573	道奇Charger Pursuit	neu
025564	帕萨特	neu
025564	迈腾	neu
025561	昕锐	pos
025561	斯柯达	pos
025558	大众	neu
025552	速派	pos
025550	桑塔纳	neu
025546	长城	neu
025546	哈弗H7	neu
025542	福特	neu
025533	福特	neu
025532	众泰	neu
025532	力帆	neu
025532	哈弗	neu
025532	东风	neu
025527	比速T3	neu
025527	北汽幻速	neu
025526	英朗	neu
025526	科鲁兹	neu
025524	途观	pos
025524	上汽大众	pos
025523	Tiguan	pos
025517	大众	neg
025515	别克凯越	neu
025511	昕动	pos
025508	速派	neu
025508	上海大众斯柯达	neu
025507	兰博基尼	neu
025507	保时捷	neu
025506	宝马X5 xDrive40e	pos
025503	奔驰	neu
025503	宝马	neu
025503	奥迪	neu
025497	Lamando凌渡	pos
025494	力帆	pos
025489	一汽奥迪	neu
025481	奔驰新E级	neu
025481	北京奔驰	neu
025479	凯越	neg
025477	途观	pos
025473	宝来	pos
025470	雅阁	neu
025468	猎豹汽车	pos
025468	猎豹CS10	pos
025466	迈腾	pos
025466	POLO	pos
025464	斯柯达	pos
025463	雷凌	neu
025463	卡罗拉	neu
025461	奥迪RS	neu
025452	兰博基尼	neu
025450	蔚揽	pos
025450	高尔夫七	neu
025449	途观	pos
025448	凌渡	pos
025445	宝马	pos
025445	大众	neu
025445	奥迪	neu
025443	奔驰	neu
025443	宝马	neu
025443	奥迪	neu
025441	北京现代	neg
025437	上汽通用	pos
025437	凯越	pos
025436	大众	neu
025433	玛莎拉蒂	neu
025433	菲翔	neu
025429	东风标致308S	neu
025429	508	neu
025425	科鲁兹	neu
025417	宝骏310	pos
025416	森雅	pos
025412	一汽大众捷达	neu
025412	朗逸	pos
025410	北汽幻速H3F	neu
025405	大众	neg
025402	速派	pos
025400	五菱宏光	pos
025400	五菱	pos
025399	北京现代ix35	pos
025390	别克凯越	neu
025387	马自达全球	neu
025387	长安马自达	neu
025379	Asterion	neu
025372	华晨宝马	neg
025371	宝马	neu
025371	BMW VISION NEXT 100	neu
025368	途观	pos
025367	宝马	pos
025366	速派	pos
025365	别克英朗	pos
025364	一汽-大众	neu
025364	大众	neu
025363	POLO	neu
025361	途观	pos
025358	Yeti	pos
025355	途安	pos
025354	速派	pos
025341	迈腾B8	neu
025341	辉昂	neu
025337	昕动	neu
025328	宝马118	neg
025327	速派	neu
025326	V6	pos
025325	林肯	neu
025324	沃尔沃V40	neg
025321	斯柯达	neg
025315	华晨中华	neu
025309	翼虎	neu
025309	途观	neu
025309	大众	neu
025309	马自达CX5	neu
025308	朗行	pos
025303	途观	neu
025303	奇骏	neu
025303	RAV4	neu
025303	CR-V	neu
025295	速派	pos
025295	上汽大众	pos
025288	华晨中华	pos
025276	Cross Polo	pos
025273	高尔夫7	pos
025269	途观	pos
025268	Q50	neg
025268	ATS	pos
025268	3系	neg
025259	速派	pos
025259	大众	neu
025254	比亚迪K9	neu
025252	大众朗逸	neu
025249	进口大众尚酷	neu
025243	夏利	neu
025243	宝马	neu
025242	途观	neu
025240	大众	neu
025237	奥迪	neg
025230	速派	pos
025227	路虎	neu
025227	卡宴	neu
025227	丰田	neu
025227	法拉利	neu
025227	大众	neu
025227	宾利	neu
025227	奔驰	neu
025227	保时捷	neu
025227	宝马	neu
025227	奥迪丰田	neu
025215	奔驰S级	pos
025215	宝马7系	pos
025207	大众	pos
025206	陆风	neu
025206	极光	neu
025190	大众	neu
025190	速腾	neu
025190	普桑	neu
025190	迈腾	neu
025185	吉利汽车	neu
025185	帝豪	neu
025183	雅阁	neu
025183	本田	neu
025182	途观	pos
025168	桑塔纳	neu
025163	大众	neu
025160	朗逸	neu
025154	朗行	neu
025152	中华	neg
025152	途安	neu
025152	吉利帝豪	pos
025151	哈弗H6	pos
025151	传祺GS4	pos
025149	王子	neu
025144	途安L	neg
025132	斯柯达	pos
025129	途安	pos
025128	桑塔纳	neu
025124	Yeti	pos
025121	本田	pos
025114	GX7	pos
025112	长安CS75	neu
025112	长安CS35	neu
025112	五菱宏光	neu
025112	瑞风S3	neu
025112	欧诺	neu
025112	哈弗	neu
025112	帝豪	neu
025112	传祺	neu
025112	宝骏	neu
025110	雅阁	pos
025110	速派	pos
025108	斯柯达	pos
025101	大众	neu
025101	宝来	neu
025099	众泰	neu
025093	迈腾	pos
025086	启辰晨风	neu
025083	上汽	pos
025083	凯越	pos
025081	现代	neu
025081	Genesis G70	neu
025079	速派	pos
025073	M2	pos
025065	朗逸	pos
025062	雪佛兰科鲁兹	neg
025058	途观	neu
025056	高尔夫	neu
025054	广汽本田	neu
025054	东风本田	neu
025051	迈腾	pos
025050	宝马	neu
025043	奥迪进口Q5	neg
025042	明锐	pos
025039	起亚	neu
025036	本田	neu
025032	图图	neu
025029	别克凯越	neu
025028	X1	pos
025028	宝马	pos
025025	悦纳	neu
025025	北京现代	neu
025018	速派	pos
025004	途安L	pos
025000	奔驰	neu
025000	宝马	neu
024999	路虎	neu
024999	陆风	neu
024993	朗逸	neu
024992	丰田卡罗拉	pos
024990	实马	neu
024988	朗逸	neg
024988	大众	neg
024984	别克	neg
024983	君越	neg
024975	途观	pos
024972	途观	neu
024971	一汽马自达	neu
024968	桑塔纳	neu
024968	奔驰	neu
024951	途观	pos
024950	保时捷	neg
024945	广汽传祺GS4	neu
024940	西雅特伊比飒	neu
024938	上海通用	neu
024938	赛欧	neu
024938	别克	neu
024938	GL8	neu
024937	Yeti	pos
024935	斯柯达	neu
024932	东风雪铁龙	neu
024931	东风标致301	pos
024929	斯柯达	pos
024929	Yeti	pos
024925	晶锐	pos
024920	凌渡	pos
024918	日产楼兰	neu
024918	福特锐界	neu
024918	丰田汉兰达	neu
024903	Cross  Polo	neu
024896	宝沃	neu
024895	FD2	pos
024895	9代思域	neu
024894	途观	neg
024889	别克	neg
024887	菲亚特	neg
024881	途安L	neu
024879	途观	neu
024878	飞度	neu
024875	速派	pos
024874	大众	neu
024873	福特	neu
024869	雅阁	neu
024869	天籁	neu
024869	凯美瑞	neu
024867	众泰汽车	pos
024867	奇瑞汽车	pos
024867	江淮汽车	pos
024867	广汽乘用车	pos
024867	北京汽车	pos
024863	大众	neu
024858	帕萨特	neu
024858	迈腾	pos
024851	甲壳虫	pos
024851	宝马	neu
024851	MINI	neu
024847	法拉利	pos
024847	兰博基尼	neu
024840	凌渡GTS	pos
024839	夏利	pos
024836	途观	pos
024831	速派	neu
024831	迈腾	neu
