SentenceId,View,Opinion
100381,ga5phev,pos
100382,广汽丰田,neu
100383,凌渡,neu
100383,a3,neu
100384,jeep,pos
100384,菲亚特,pos
100384,克莱斯勒,neu
100385,英朗,neu
100386,幻速s3l,neu
100387,别克,neu
100388,大众cc奥迪a4,neu
100389,宝马,pos
100390,大众,neu
100390,森雅r7,neu
100391,奥迪q3,neu
100392,荣威E50,pos
100393,日产,neu
100393,一汽丰田,neu
100393,奇骏,neu
100393,RAV4,neu
100394,qx60,neu
100395,别克君越,pos
100395,别克,pos
100396,朗动,neu
100396,伊兰特,neu
100396,瑞奕,neu
100396,瑞纳,neu
100396,领动,neu
100396,悦动,neu
100396,北京现代,neu
100396,悦纳,neu
100397,北汽,neu
100397,北京汽车,neu
100398,大众,neu
100398,雪铁龙,neu
100398,雷诺,neu
100398,长城,neu
100398,奔驰,neu
100398,宝马,neu
100398,克莱斯勒,neu
100398,通用,neu
100398,保时捷,neu
100399,卡罗拉,neu
100400,宝马,neu
100401,福睿斯,neu
100402,宝马,neu
100403,三菱,neu
100404,日产天籁,neu
100405,众泰,neg
100406,gk5,neu
100407,奥迪,neu
100408,凌渡,pos
100409,保时捷718,neu
100410,梅赛德斯-奔驰,pos
100411,雷诺trezor,neu
100412,瑞风m4,neu
100413,rav4荣放,neu
100414,森雅r7,neu
100415,k5,neu
100415,迈锐宝,neu
100415,蒙迪欧,neu
100416,大众,neu
100417,奔驰e级coupe,neu
100418,雅阁,neu
100419,菲亚特,neu
100420,哈弗,neu
100420,一汽,neu
100420,特斯拉,pos
100421,桑塔纳,pos
100421,宝来,neu
100421,朗逸,neu
100422,宝马5系,neu
100423,威驰,neu
100423,rav4,neu
100424,阳光,pos
100425,观致,pos
100426,斯柯达,neu
100427,别克gl8,neu
100429,法拉利458,neu
100430,牧马人,neu
100430,奔驰g,neu
100431,众泰大迈x5,pos
100433,迈腾b8,neu
100433,一汽大众,neu
100434,雨燕,neu
100435,荣威950,pos
100435,索九,pos
100436,宝马,neu
100437,福特F150,pos
100438,长安铃木,pos
100438,长安,neu
100439,悍马,neu
100439,宝马750,neu
100439,劳斯莱斯,neu
100439,奔驰600,neu
100439,宾利,neu
100440,宝马,neu
100441,长安马自达,neu
100442,宝马,neu
100443,风行sx6,pos
100443,宝骏730,pos
100444,迈腾,pos
100445,雪铁龙c5,neu
100446,锐界,neu
100446,汉兰达,neu
100448,轩逸,neu
100449,朗动,neu
100450,丰田yaris,neu
100450,雅力士,neu
100451,速派,pos
100452,福特,neu
100453,大众凌度,neu
100454,benzg500,neu
100455,宝骏730,neu
100456,朗逸,neu
100457,科鲁兹,neu
100458,桑塔纳,neu
100459,中华,neu
100460,标致308,pos
100461,大众Polo,neu
100462,比亚迪唐,neu
100463,大众,pos
100464,现代,neu
100465,英朗gt昂克拉赛欧,neu
100465,别克,neu
100465,凯越君威,neu
100465,君越,neu
100466,宝马,pos
100466,梅赛德斯-奔驰,neu
100467,大众,neu
100468,日产elgrand,neu
100468,丰田埃尔法,neu
100469,明锐,neu
100470,哈弗,neu
100471,飞度,neu
100472,昂科拉,neu
100473,克莱斯勒,neu
100475,卡罗拉,neu
100476,天籁,neu
100477,瑞纳,pos
100478,劳斯莱斯,neu
100479,锋驭,neu
100480,法拉利,neu
100480,兰博基尼,neu
100480,派力奥,pos
100481,丰田,neu
100481,宝马,neu
100481,奔驰,neu
100481,大众,neu
100481,奔驰e级,pos
100482,东风日产,neu
100482,启辰,neu
100483,迈巴赫,neu
100484,宝马,neu
100485,rav4荣放,pos
100486,梅赛德斯-奔驰,neu
100487,卡罗拉,neu
100487,雷凌,neu
100487,逸致,neu
100488,柯兰多,pos
100489,天籁,neu
100490,宝马zkw,neu
100491,江淮80,neg
100492,cs35,neu
100492,长安,neu
100493,宝骏560,neu
100494,雪铁龙c4l,neu
100495,东风日产启辰,neu
100496,菲亚特菲翔,neu
100496,高尔夫,neu
100496,广汽菲亚特,neu
100497,博越,neu
100497,途观,neu
100497,ix35,neu
100498,奥迪,pos
100499,宝骏,neu
100499,宝骏730,neu
100500,起亚,neu
100501,本田,neu
100502,汉兰达,pos
100503,上汽大众,neu
100504,宝马x3,neu
100504,x5,pos
100505,一汽丰田rav4荣放,neu
100506,广汽三菱,neu
100507,威朗,neu
100507,昂科威,neu
100507,科鲁兹,neu
100507,英朗,neu
100508,国产雅阁,neu
100509,雷凌,neu
100510,科鲁兹,neu
100511,Cross Polo,neu
100512,q7,neu
100512,锐界,neu
100512,英菲尼迪qx60,neu
100512,x5,neu
100512,汉兰达,neu
100513,polo,neu
100513,瑞纳,neu
100513,飞度,pos
100514,骊威,pos
100515,宝马5系,pos
100515,bmwm5,pos
100516,cs75,neu
100516,ssss,neu
100517,宝马5系gt,neu
100518,东风日产,neu
100518,逍客,neu
100519,宝马x3,neu
100520,宝来,neu
100521,哈弗h6,neu
100522,荣威rx5,pos
100523,发现,pos
100525,途观,neu
100526,昂科威,neu
100526,马自达,neu
100527,308gt4,neu
100527,兰博基尼countach,neu
100529,福特野马cobrajet,neu
100530,宝马,neu
100530,奔驰,neu
100530,奥迪,neu
100531,标致508,neu
100531,五菱宏光,pos
100532,君威,pos
100533,广汽传祺,neu
100533,ga5,neu
100534,布加迪威航,pos
100535,宝马,neu
100535,玛莎拉蒂,neu
100536,途观,pos
100537,宝马,neu
100539,宝马,neu
100540,宝来,neu
100541,大众,neu
100542,福睿斯,neu
100543,大众,neu
100544,逍客,neu
100544,高尔夫6,neu
100545,奔腾x80,pos
100546,北汽幻速s2,neu
100547,汉兰达,neu
100548,福特,neu
100548,蒙迪欧,neu
100549,斯柯达,neu
100550,夏朗,neu
100551,北汽幻速h2,neu
100552,丰田,neu
100554,大众,neu
100554,奔驰,neu
100554,宝马,neu
100554,欧宝,neu
100554,宝沃,neu
100554,奥迪,neu
100555,本田,neu
100555,雅阁,neu
100556,卡罗拉,neu
100556,思域,neu
100556,雅阁,neu
100556,凯美瑞crv,neu
100557,桑塔纳,neu
100557,捷达,neu
100558,宝马,neu
100559,昂克赛拉,pos
100560,丰田,pos
100561,fabia晶锐,pos
100562,途安L,pos
100563,yeti,neu
100564,雷诺日产,pos
100565,帕萨特,neu
100565,红旗h7,neu
100566,长安铃木,neu
100567,广汽传祺,neu
100568,宝骏310,neu
100569,飞度,pos
100571,五菱宝骏,neu
100572,上汽大众,pos
100573,srx,neu
100573,凯迪拉克,neu
100573,ats-l,neu
100573,xts,neu
100575,凌渡,pos
100577,丰田c-hr,neu
100578,北汽,neu
100578,江淮,neu
100579,东风雪铁龙,neu
100580,雪佛兰,neu
100581,东风标致,neu
100582,帕萨特,neu
100583,雪佛兰,neu
100584,一汽丰田,neu
100584,广汽丰田,neu
100585,卡罗拉,neu
100586,蓝瑟,neu
100588,比亚迪元,neu
100588,江淮瑞风s3,neu
100589,英朗,neu
100589,菲翔,neu
100590,高尔夫7,neu
100591,x5,pos
100592,阳光,neu
100592,560,neu
100592,捷达,neu
100592,k2,neu
100592,比亚迪,neu
100594,福特,pos
100595,奥迪,pos
100596,帕萨特,neu
100596,奥迪,neu
100597,长安悦翔v7,neu
100597,奇瑞艾瑞泽5,neu
100598,别克昂科威,neu
100598,上汽通用,neu
100599,雪铁龙,neu
100600,威利斯,neu
100602,长安,pos
100603,gs8,pos
100603,锐界,pos
100603,汉兰达,neu
100604,蔚揽,pos
100604,大众,pos
100606,长安,neu
100607,悦翔v7,neu
100607,长安,neu
100608,q5q7,neu
100608,奥迪q3,neu
100609,雅阁,neu
100610,奥迪q,neu
100610,奥迪q系,pos
100611,途安l,neu
100612,宝马,neu
100612,林肯ssss,neu
100612,mkz,neu
100612,宝马ssss,neu
100613,上海大众帕萨特,neu
100614,丰田卡罗拉,neu
100615,宝马x5,neu
100616,凯美瑞,neu
100617,夏朗,pos
100618,轩逸,neu
100619,一汽,neu
100619,红旗,neu
100620,昊锐,neu
100621,q3,neu
100621,q5,neu
100621,奥迪q3,neu
100622,雅阁,neu
100623,速派,pos
100623,大众,pos
100624,宝骏560,pos
100624,哈弗h6,pos
100624,威旺s50,pos
100625,起亚,pos
100626,比亚迪t8,neu
100627,丰田,neu
100627,雷凌,neu
100628,迈腾,neu
100629,宝马,neu
100630,长安cs35,neu
100631,林肯mkx,pos
100632,途观,neu
100632,自由光,neu
100633,北京汽车,neu
100634,昕锐,neu
100635,雪佛兰,neu
100635,克尔维特c7“stingray,neu
100636,华晨宝马,pos
100637,东风,neu
100637,东风a9,neu
100637,标致雪铁龙,neu
100639,比亚迪,pos
100639,大众,pos
100639,斯柯达,pos
100640,羚羊,neg
100641,宝马,neu
100642,君越,pos
100643,凯迪拉克,neu
100643,哈雷,neu
100644,一汽丰田,neu
100645,福特,neu
100646,大众,neu
100647,丰田,neu
100648,宝马,neu
100648,宝马5系,neu
100648,bmwx2concept,neu
100649,昂科雷,neu
100649,君越,neu
100650,宝马,neu
100650,奥迪,neu
100650,奔驰4轮,neu
100651,大众途观,neu
100652,逍客,neu
100652,蓝鸟,neu
100652,东风日产,neu
100652,天籁,neu
100652,奇骏,neu
100652,轩逸,neu
100652,阳光,neu
100652,楼兰,neu
100653,威驰,neu
100654,q3,neu
100654,红旗,neu
100655,广汽传祺ga3,neu
100656,宝马,neu
100656,长安悦翔v7,neu
100657,福克斯rs,neu
100657,野马,neu
100657,福特,neu
100658,斯柯达,neu
100659,奥迪,neu
100660,翼虎,pos
100660,途观,pos
100660,马自达CX-5,pos
100660,马自达,neu
100663,途观,neu
100664,宝骏e100,neu
100665,高尔夫,neu
100665,金杯,neu
100666,雪佛兰,neu
100667,雷克萨斯,neu
100668,gts,neu
100668,梅赛德斯-amggt,neu
100668,gt,neu
100669,宝骏560,pos
100670,雪铁龙,neu
100671,奔驰s级,neu
100672,奥迪,neu
100673,福特,pos
100674,东风悦达起亚智跑,neg
100675,福特,pos
100676,宝马x3,neu
100677,f150,neu
100678,宝马,neu
100681,沃尔沃,neu
100682,皇冠,pos
100683,a7,neu
100683,迈巴赫,neu
100683,奥德赛,neu
100684,昂克赛拉,neu
100686,伊兰特,neu
100687,长安,neu
100688,森雅r7,pos
100689,c6,neu
100689,c6c6,neu
100689,东风雪铁龙,neu
100690,传祺gs4,neu
100691,标致3008,pos
100692,科鲁兹,neu
100693,丰田,neu
100693,通用,neu
100693,迈锐宝xl,neu
100693,君越30h,neu
100694,捷达,neu
100694,迈腾b6,neu
100694,迈腾,neu
100695,途观,pos
100696,威驰,neu
100696,锋范,neu
100696,哥瑞,neu
100696,飞度,neu
100698,奥迪a4,neu
100698,q5,pos
100701,别克,neu
100702,长安福特福克斯,neg
100703,速派,neu
100703,斯柯达,neu
100704,雅阁,pos
100705,长城,neu
100706,ttttrs,neu
100706,奥迪tt,neu
100707,卡罗拉,pos
100708,速腾,neu
100709,翼豹,neu
100710,起亚,neu
100710,智跑,neu
100711,路虎卫士,neu
100712,北汽幻速h3f,neu
100713,高尔夫7,neu
100714,福克斯,neu
100714,大众,neu
100714,科鲁兹,neu
100714,悦动,neu
100714,凯越,neu
100714,英朗,neu
100715,众泰t600,neu
100716,迈锐宝,neu
100717,威朗,neu
100717,标致308,neu
100717,速腾,neu
100717,朗逸,neu
100718,标致5008,neu
100719,比亚迪,neg
100720,奥迪a4l,neu
100721,大众高尔夫gti,neu
100722,宝马5系,neu
100723,大众,neu
100724,东风标致4008,pos
100725,丰田,neu
100725,yarisverso,neu
100725,yaris,neu
100726,宝马,neu
100727,宝马,neu
100727,锋范,neu
100728,宝骏510,neu
100729,全顺,neu
100729,福特,neu
100730,本田,pos
100731,斯柯达,neu
100732,哈弗h9,neu
100732,h9,neu
100733,雪佛兰景程,neu
100734,马自达,pos
100736,比亚迪s7,neu
100737,逍客,neu
100737,缤智,neu
100737,xrv,neu
100738,奥迪,neu
100739,奥迪r8,neu
100740,保时捷,pos
100741,奥迪a3,neu
100742,斯柯达明锐,neg
100743,福克斯,neu
100745,雪佛兰,neu
100745,赛欧,neu
100746,本田,neu
100746,奥迪,neu
100746,马自达,neu
100746,别克,neu
100747,哈弗,pos
100748,本田xrv,neu
100748,ix25,neu
100749,丰田,neu
100749,宝马,neu
100749,宝马z5,neu
100750,别克君越30h,neu
100750,君越,neu
100751,桑塔纳,neu
100752,瑞风,pos
100752,江淮,neu
100752,瑞风m4,neu
100753,丰田卡罗拉,pos
100754,宝骏560,neu
100754,宝骏730,neu
100755,丰田,neu
100756,福特野马,neu
100757,长安cs15,neu
100758,福特全顺,neu
100759,宝马,neu
100760,别克,neu
100761,飞度,pos
100762,指南者,pos
100763,奥迪,neu
100764,梅赛德斯-奔驰,neu
100764,奔驰,neu
100765,桑塔纳,neu
100765,santana,neu
100766,梅赛德斯-奔驰,neu
100767,奥迪a6l,neu
100768,丰田,neu
100769,速腾,neu
100770,铃木锋驭,neu
100771,千里马,neu
100772,polo,neu
100772,途安,neu
100773,帕萨特,neu
100773,蒙迪欧,neu
100774,马自达,neu
100775,宝马,neu
100776,起亚,neu
100777,比亚迪,neu
100778,宝马,neu
100779,POLO,neu
100779,大众,neu
100780,迈腾,pos
100780,高尔夫嘉旅,pos
100781,野马,neu
100781,福特,neu
100782,幻速s3l,pos
100783,途安l,neu
100785,宝马5系,pos
100786,宝马7系,neu
100787,奥迪,neu
100788,卡罗拉,neg
100789,东风雪铁龙c6,pos
100790,飞度,pos
100791,雅阁,neu
100792,凯迪拉克,neu
100792,雪铁龙,neu
100793,c600sport,pos
100793,宝马c600sport,pos
100793,宝马motorrad,pos
100794,Yeti,pos
100795,奔驰s级,pos
100795,宝马7系,pos
100796,奥迪a4l,neu
100797,现代,neu
100798,花冠,pos
100799,308,pos
100799,标致,pos
100800,桑塔纳,neu
100801,大众,neu
100801,Polo,neu
100803,雪佛兰,neu
100803,suburban,neu
100804,林肯,neu
100804,s90,pos
100805,朗行,neu
100805,朗逸,neu
100806,长安,neu
100807,长安cs75,pos
100808,大众凌渡,neu
100809,夏朗,neu
100810,一汽丰田,neu
100811,朗逸,neu
100813,日产,neu
100813,法拉利,neu
100814,宝马,neu
100814,大众,neu
100815,野马,neu
100815,福特野马,neu
100816,爱福,neu
100817,汉兰达,neu
100818,北京奔驰,neu
100818,奔驰,neu
100819,北京现代,neu
100820,沃尔沃,neu
100821,传祺,pos
100822,Polo,neu
100823,宝马,pos
100823,奔驰,neu
100823,雷克萨斯,neu
100824,中国一汽,neu
100824,红旗,neu
100825,众泰z700,pos
100826,起亚,neu
100828,雷诺,neu
100829,朗逸,neu
100830,雷克萨斯,neu
100831,迈凯伦,neu
100832,卡罗拉,neu
100833,吉利,neu
100833,帝豪GL,neu
100834,北京吉普,neu
100834,北汽,neu
100835,途观,pos
100836,凯迪拉克ct6,neu
100836,捷豹xfl,neu
100836,e级,neu
100836,5系,neu
100836,雷克萨斯gs,neu
100836,英菲尼迪q70l,neu
100836,a6l,neu
100837,上汽通用五菱,neu
100837,宝骏310,neu
100838,力帆,pos
100839,途安L,pos
100840,DS,neu
100841,沃尔沃t3,neu
100841,雅阁,neu
100842,雅阁,neu
100843,哈弗h2,pos
100844,轩逸,pos
100844,帝豪gl,pos
100845,凌渡,pos
100846,帕萨特,neu
100847,别克,neu
100848,凯美瑞,neu
100849,绅宝x25,pos
100849,北汽,pos
100850,广汽传祺gs5,neu
100851,accord,neu
100851,思铂睿,pos
100851,雅阁,neu
100852,雅阁,pos
100853,长安,pos
100854,ds,pos
100855,雪佛兰,neu
100856,奥迪q5,neu
100857,凌渡,pos
100858,帕萨特,neu
100858,昂科威,neu
100858,君越,neu
100859,dx7,neu
100859,东南汽车,neu
100860,昂科威,neu
